FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-09 00:00:00.000000,0.00300775,0.01582476,0.05628099,0,2,9,0,1,6,0.00173515,0.00913055,0.03417277,0.38638374,0.51477517,0.75676960
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-10 00:00:00.000000,0.00340367,0.01744218,0.05768509,0,3,10,0,1,5,0.00179268,0.00885168,0.03321867,0.38589613,0.51477519,0.75676954
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-11 00:00:00.000000,0.00385219,0.01873797,0.06100531,0,3,10,0,1,5,0.00191345,0.00911215,0.03248046,0.38488446,0.51477523,0.75676941
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-12 00:00:00.000000,0.00435205,0.02018792,0.06599055,0,3,11,0,1,5,0.00210015,0.00961115,0.03282080,0.38280788,0.51477529,0.75676908
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-13 00:00:00.000000,0.00490039,0.02209519,0.07107478,0,3,12,0,1,6,0.00232457,0.01062270,0.03449296,0.37863801,0.51477538,0.75676815
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-14 00:00:00.000000,0.00548409,0.02393513,0.07664520,0,4,13,0,1,6,0.00257250,0.01115580,0.03721712,0.37062260,0.50951379,0.75676526
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-15 00:00:00.000000,0.00607180,0.02600069,0.08542741,1,4,15,0,2,7,0.00283737,0.01191157,0.04007069,0.35643677,0.50628730,0.75675570
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-16 00:00:00.000000,0.00662109,0.02821732,0.09503827,1,4,16,0,2,7,0.00311669,0.01281276,0.04303417,0.35337965,0.50628713,0.75663901
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-17 00:00:00.000000,0.00710960,0.03002614,0.10386655,1,5,18,0,2,8,0.00340964,0.01382453,0.04771416,0.35297528,0.49523730,0.74691591
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-18 00:00:00.000000,0.00754917,0.03180072,0.11052420,1,5,19,0,2,9,0.00371440,0.01499767,0.05312471,0.35212641,0.48425851,0.72656175
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-19 00:00:00.000000,0.00796396,0.03345764,0.11746256,1,5,20,0,2,10,0.00402390,0.01623201,0.05902749,0.35004905,0.47314139,0.69278232
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-20 00:00:00.000000,0.00837287,0.03561202,0.12470564,1,6,21,0,3,11,0.00432848,0.01766332,0.06541058,0.32732893,0.44968368,0.64611855
54047,0,USWestVirginiaMcDowell,West Virginia,McDowell,2020-11-13 15:18:46.780555,2020-03-21 00:00:00.000000,0.00878735,0.03723185,0.13228786,1,6,23,0,3,12,0.00454332,0.01873709,0.07215095,0.29867155,0.43120124,0.64216370
