FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-09 00:00:00.000000,0.00190063,0.00655266,0.01381270,1,3,8,0,1,3,0.00042797,0.00215584,0.00622783,0.36340012,0.49313368,0.62783821
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-10 00:00:00.000000,0.00295379,0.00946451,0.01665311,1,5,9,0,1,3,0.00059122,0.00252095,0.00650528,0.36339324,0.49155128,0.62725261
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-11 00:00:00.000000,0.00405562,0.01186740,0.01987950,2,6,11,0,2,4,0.00099153,0.00361097,0.00713400,0.36337942,0.49062499,0.62621770
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-12 00:00:00.000000,0.00522327,0.01424150,0.02493466,3,8,14,0,2,5,0.00143109,0.00494502,0.00853378,0.36335159,0.49061101,0.62440313
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-13 00:00:00.000000,0.00621355,0.01642807,0.03043602,3,9,17,1,3,6,0.00195075,0.00615288,0.01027799,0.36329548,0.48903942,0.62126515
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-14 00:00:00.000000,0.00756352,0.01922141,0.03623565,4,11,21,1,4,7,0.00244141,0.00714575,0.01218147,0.36318227,0.48816976,0.61636856
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-15 00:00:00.000000,0.00899202,0.02229378,0.04114461,5,13,24,1,5,8,0.00298099,0.00854723,0.01500956,0.36295383,0.48787191,0.61634163
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-16 00:00:00.000000,0.01227434,0.02592611,0.04678686,7,15,27,2,5,10,0.00357399,0.01011529,0.01816653,0.36249367,0.48705930,0.61623723
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-17 00:00:00.000000,0.01593718,0.02944674,0.05265523,9,17,30,2,6,12,0.00440725,0.01178725,0.02128480,0.34142250,0.48462099,0.61581133
54055,0,USWestVirginiaMercer,West Virginia,Mercer,2020-11-13 15:22:17.798306,2020-03-18 00:00:00.000000,0.01883538,0.03450041,0.05870081,11,20,34,3,8,14,0.00541855,0.01381442,0.02451708,0.34119543,0.47032556,0.61380775
