FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-09 00:00:00.000000,0.00444853,0.01279283,0.02523465,2,5,11,0,2,5,0.00124721,0.00566115,0.01244529,0.38856456,0.48664670,0.60333271
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-10 00:00:00.000000,0.00635227,0.01607474,0.02964880,2,7,13,0,2,5,0.00182370,0.00590578,0.01272340,0.38837755,0.48664090,0.60331085
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-11 00:00:00.000000,0.00840600,0.01949654,0.03579802,3,8,16,1,3,6,0.00273266,0.00687470,0.01373471,0.38794451,0.48662669,0.60325182
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-12 00:00:00.000000,0.01041726,0.02307082,0.04284228,4,10,19,1,3,6,0.00350531,0.00837028,0.01509132,0.38694487,0.48659135,0.60299981
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-13 00:00:00.000000,0.01191300,0.02674929,0.05029817,5,12,22,2,4,7,0.00477669,0.01003456,0.01724260,0.38466201,0.48634437,0.60160298
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-14 00:00:00.000000,0.01380190,0.03081529,0.05820267,6,13,26,2,5,9,0.00563097,0.01158291,0.02044073,0.38144462,0.48575777,0.59856047
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-15 00:00:00.000000,0.01594703,0.03480194,0.06603255,7,15,29,3,6,10,0.00668352,0.01350766,0.02399188,0.38113957,0.48465804,0.59756640
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-16 00:00:00.000000,0.01846656,0.03952962,0.07147671,8,17,32,3,7,12,0.00780844,0.01551692,0.02785269,0.38098438,0.47891109,0.59240222
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-17 00:00:00.000000,0.02187580,0.04440959,0.07598106,9,20,34,4,8,14,0.00907447,0.01792319,0.03197460,0.38058800,0.47375506,0.58044447
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-18 00:00:00.000000,0.02550897,0.04987333,0.08303349,11,22,37,4,9,16,0.01065249,0.02059601,0.03639798,0.33476511,0.46138415,0.56540460
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-19 00:00:00.000000,0.02857903,0.05584893,0.09560226,12,25,43,5,10,18,0.01246777,0.02345449,0.04099906,0.28781449,0.44513461,0.56095761
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-20 00:00:00.000000,0.03088001,0.06232730,0.10869178,14,28,49,6,11,20,0.01402448,0.02640148,0.04576115,0.26968865,0.42049979,0.55335863
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-21 00:00:00.000000,0.03356851,0.06713058,0.11733425,15,30,53,7,13,22,0.01548818,0.02982555,0.05059208,0.26291478,0.39672972,0.53319873
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-22 00:00:00.000000,0.03711614,0.07243359,0.12466730,16,32,56,7,14,25,0.01696004,0.03297649,0.05535297,0.25302523,0.37406348,0.52661251
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-23 00:00:00.000000,0.04122158,0.07827903,0.13199371,18,35,59,8,16,27,0.01820784,0.03566519,0.06108092,0.24803172,0.34493466,0.47926013
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-24 00:00:00.000000,0.04458984,0.08391542,0.13895558,20,38,63,9,17,30,0.01984365,0.03856774,0.06673589,0.24507591,0.33146133,0.45004994
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-25 00:00:00.000000,0.04828202,0.09093124,0.14494951,21,41,65,9,18,32,0.02170021,0.04152585,0.07160089,0.24156864,0.31309618,0.44932548
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-26 00:00:00.000000,0.05271640,0.09475714,0.15026231,23,42,68,10,20,34,0.02367603,0.04447018,0.07588393,0.24060919,0.30737063,0.44854062
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-27 00:00:00.000000,0.05598433,0.09963397,0.16312466,25,45,74,11,21,36,0.02562162,0.04747757,0.07974093,0.22093118,0.29046320,0.44357402
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-28 00:00:00.000000,0.05924238,0.10238272,0.16850507,26,46,76,12,22,37,0.02738775,0.04994814,0.08328861,0.20125534,0.27682070,0.40107209
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-29 00:00:00.000000,0.06243426,0.10484405,0.17387965,28,47,78,13,24,40,0.02911488,0.05295988,0.08984188,0.19113966,0.26724513,0.37613285
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-11-15 01:10:51.017556,2020-03-30 00:00:00.000000,0.06923957,0.11148695,0.17722394,31,50,80,13,25,43,0.03080169,0.05575624,0.09497508,0.18742195,0.26099591,0.35285298
