FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-09 00:00:00.000000,0.00394448,0.01574076,0.04765450,0,3,9,0,1,5,0.00179683,0.00827077,0.02782043,0.37895288,0.51324921,0.74754101
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-10 00:00:00.000000,0.00430008,0.01772393,0.05174853,0,3,10,0,1,5,0.00192786,0.00815350,0.02775571,0.37895288,0.51324694,0.74751749
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-11 00:00:00.000000,0.00467272,0.01928733,0.05695699,0,3,11,0,1,5,0.00208062,0.00816083,0.02877267,0.37895287,0.51324049,0.74746489
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-12 00:00:00.000000,0.00505915,0.02066946,0.06237406,1,4,12,0,1,6,0.00226609,0.00864971,0.03053624,0.37895286,0.51322218,0.74734727
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-13 00:00:00.000000,0.00545956,0.02208440,0.06806685,1,4,13,0,1,6,0.00247850,0.00937505,0.03229505,0.37895281,0.51317010,0.74708457
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-14 00:00:00.000000,0.00587561,0.02356253,0.07407408,1,4,15,0,2,7,0.00271471,0.01023958,0.03426324,0.37895265,0.51302202,0.74649927
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-15 00:00:00.000000,0.00630940,0.02512424,0.08040820,1,5,16,0,2,7,0.00297377,0.01119522,0.03643391,0.37784573,0.51260265,0.74520259
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-16 00:00:00.000000,0.00676311,0.02708450,0.08705498,1,5,17,0,2,8,0.00325611,0.01208432,0.03936640,0.36738612,0.51072732,0.74236596
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-17 00:00:00.000000,0.00724202,0.02896333,0.09397293,1,5,19,0,2,8,0.00356301,0.01325842,0.04253522,0.36590867,0.50220085,0.73632883
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-18 00:00:00.000000,0.00773980,0.03071508,0.10109526,1,6,20,0,2,9,0.00389634,0.01433416,0.04593090,0.36188454,0.49325095,0.71223215
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-19 00:00:00.000000,0.00824662,0.03264401,0.10833742,1,6,22,0,3,10,0.00425840,0.01546704,0.04957647,0.32364300,0.47939140,0.68908081
55061,0,USWisconsinKewaunee,Wisconsin,Kewaunee,2020-11-07 16:49:42.181693,2020-03-20 00:00:00.000000,0.00873928,0.03480334,0.11561138,1,7,23,0,3,10,0.00465184,0.01664017,0.05346151,0.29822268,0.46428436,0.66915498
