FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-09 00:00:00.000000,0.00048620,0.00688369,0.03922211,0,1,7,0,0,4,0.00026660,0.00402889,0.02412718,0.37675313,0.54384904,0.77056165
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-10 00:00:00.000000,0.00054069,0.00743665,0.03999683,0,1,7,0,0,4,0.00025091,0.00384243,0.02145971,0.37675259,0.54381881,0.77048409
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-11 00:00:00.000000,0.00059498,0.00813392,0.04147821,0,1,7,0,0,4,0.00024800,0.00388955,0.02163591,0.37675182,0.54376413,0.77037798
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-12 00:00:00.000000,0.00065104,0.00897352,0.04573530,0,1,8,0,0,4,0.00025375,0.00419463,0.02327335,0.37675073,0.54366532,0.77023166
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-13 00:00:00.000000,0.00071027,0.00994507,0.05009325,0,1,9,0,0,4,0.00026563,0.00429384,0.02520304,0.37674918,0.54348710,0.77002780
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-14 00:00:00.000000,0.00077370,0.01062183,0.05449266,0,2,10,0,0,5,0.00028213,0.00449084,0.02735036,0.37674688,0.54316684,0.76974002
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-15 00:00:00.000000,0.00084215,0.01126102,0.05878033,0,2,11,0,0,5,0.00030238,0.00481773,0.02967919,0.37674309,0.54259512,0.76932784
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-16 00:00:00.000000,0.00091632,0.01195380,0.06278057,0,2,12,0,0,6,0.00032590,0.00516197,0.03217533,0.37673500,0.53755790,0.76582190
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-17 00:00:00.000000,0.00099684,0.01288507,0.06767074,0,2,12,0,1,6,0.00035246,0.00579912,0.03483669,0.36970372,0.53750386,0.75618583
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-18 00:00:00.000000,0.00108418,0.01406915,0.07311825,0,2,14,0,1,7,0.00038199,0.00643049,0.03766594,0.35617682,0.52991024,0.75587435
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-19 00:00:00.000000,0.00117827,0.01500607,0.07885628,0,2,15,0,1,7,0.00041452,0.00711670,0.04065890,0.35005187,0.50956215,0.75543644
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-20 00:00:00.000000,0.00127715,0.01584748,0.08464711,0,3,16,0,1,8,0.00045006,0.00780684,0.04377016,0.33760336,0.49321752,0.75482319
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-21 00:00:00.000000,0.00137517,0.01660014,0.08974863,0,3,17,0,1,8,0.00048834,0.00846416,0.04683559,0.32405365,0.48063791,0.75057606
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-22 00:00:00.000000,0.00146812,0.01745154,0.09345612,0,3,17,0,1,9,0.00052839,0.00902018,0.05002226,0.28890499,0.45475945,0.70353354
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-23 00:00:00.000000,0.00155992,0.01853382,0.09630629,0,3,18,0,1,10,0.00056894,0.00953418,0.05299668,0.27318201,0.44988176,0.64522907
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-24 00:00:00.000000,0.00165518,0.01953861,0.09883110,0,3,18,0,1,10,0.00060965,0.01002569,0.05550475,0.26430650,0.43202725,0.64392616
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-25 00:00:00.000000,0.00175584,0.02070920,0.10124272,0,3,19,0,2,11,0.00065094,0.01050323,0.05761575,0.25964579,0.42400215,0.64863305
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-26 00:00:00.000000,0.00186236,0.02194545,0.10356231,0,4,19,0,2,11,0.00069340,0.01091804,0.05944237,0.24884957,0.41480659,0.64941127
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-27 00:00:00.000000,0.00197385,0.02320035,0.10575739,0,4,20,0,2,11,0.00073748,0.01130074,0.06106869,0.23195888,0.40563260,0.64184503
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-28 00:00:00.000000,0.00208547,0.02408251,0.11187850,0,4,21,0,2,12,0.00078338,0.01162281,0.06254194,0.22382049,0.38483133,0.61754622
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-29 00:00:00.000000,0.00218460,0.02448864,0.11457780,0,4,21,0,2,12,0.00083056,0.01220902,0.06388508,0.22029217,0.36776017,0.60789698
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-30 00:00:00.000000,0.00226293,0.02562773,0.11698923,0,4,22,0,2,12,0.00087688,0.01245744,0.06511098,0.21942702,0.35582478,0.59818061
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-03-31 00:00:00.000000,0.00232964,0.02657519,0.11914084,0,5,22,0,2,12,0.00091968,0.01266871,0.06622563,0.21917810,0.34999348,0.58806608
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-01 00:00:00.000000,0.00239366,0.02727475,0.12109598,0,5,23,0,2,12,0.00095839,0.01302629,0.06722001,0.21352730,0.33944993,0.57779465
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-02 00:00:00.000000,0.00245811,0.02785809,0.12272962,0,5,23,0,2,13,0.00099389,0.01353836,0.06806248,0.20459803,0.33304064,0.56779042
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-03 00:00:00.000000,0.00252370,0.02794359,0.12414507,0,5,23,0,2,13,0.00102726,0.01382831,0.07125009,0.19434659,0.32365088,0.54450426
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-04 00:00:00.000000,0.00259015,0.02783198,0.12550087,0,5,24,0,2,13,0.00105933,0.01411807,0.07259456,0.18636977,0.30780088,0.54352488
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-05 00:00:00.000000,0.00265604,0.02787427,0.12685087,0,5,24,0,2,13,0.00109065,0.01448718,0.07058591,0.17904991,0.30489891,0.55272741
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-06 00:00:00.000000,0.00271915,0.02794641,0.12371347,0,5,23,0,2,13,0.00112138,0.01458013,0.06931088,0.16791069,0.30117367,0.55069595
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-07 00:00:00.000000,0.00277914,0.02757508,0.11807339,0,5,22,0,2,13,0.00115132,0.01471633,0.06905044,0.15519025,0.29415649,0.54746961
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-08 00:00:00.000000,0.00283798,0.02711373,0.11760547,0,5,22,0,2,13,0.00118028,0.01477856,0.06850324,0.14454073,0.29068286,0.54412143
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-09 00:00:00.000000,0.00289712,0.02686171,0.11776130,0,5,22,0,2,12,0.00120840,0.01439687,0.06764232,0.13957427,0.28456481,0.53971306
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-10 00:00:00.000000,0.00295723,0.02700709,0.11786698,0,5,22,0,2,12,0.00123599,0.01413664,0.06649664,0.13739779,0.27440004,0.53288773
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-11 00:00:00.000000,0.00301918,0.02628740,0.11792649,0,5,22,0,2,12,0.00126335,0.01403354,0.06699223,0.13726691,0.26781804,0.52262634
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-12 00:00:00.000000,0.00299300,0.02637502,0.11794973,0,5,22,0,2,12,0.00129081,0.01369007,0.06742498,0.13723334,0.26337774,0.50889165
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-13 00:00:00.000000,0.00286735,0.02717842,0.11795004,0,5,22,0,2,12,0.00131922,0.01364286,0.06756376,0.13578234,0.26252785,0.50108894
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-14 00:00:00.000000,0.00274773,0.02721145,0.11793112,0,5,22,0,2,12,0.00135069,0.01389426,0.06649155,0.13365017,0.26477985,0.49098619
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-15 00:00:00.000000,0.00263541,0.02697362,0.11788291,0,5,22,0,2,12,0.00138635,0.01362449,0.06496376,0.13350700,0.26233525,0.48344368
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-16 00:00:00.000000,0.00265347,0.02699044,0.11776784,0,5,22,0,2,12,0.00137124,0.01343408,0.06343379,0.13339999,0.25759612,0.47152464
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-17 00:00:00.000000,0.00273334,0.02733603,0.11748885,0,5,22,0,2,11,0.00131584,0.01358879,0.06191441,0.13337708,0.24910555,0.44715462
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-18 00:00:00.000000,0.00281632,0.02732628,0.11686993,0,5,22,0,2,11,0.00126635,0.01397957,0.06041384,0.13340741,0.24588638,0.42025197
55067,0,USWisconsinLanglade,Wisconsin,Langlade,2020-10-16 15:07:06.682925,2020-04-19 00:00:00.000000,0.00290242,0.02738493,0.11577394,0,5,22,0,2,11,0.00122487,0.01430266,0.05943294,0.13513875,0.24191688,0.41389160
