FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-09 00:00:00.000000,0.01436206,0.02944814,0.06043406,135,278,571,64,133,205,0.00682934,0.01408500,0.02174980,0.62854448,0.73943780,0.94672943
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-10 00:00:00.000000,0.01731954,0.03420284,0.06804677,163,323,643,73,145,243,0.00775995,0.01541422,0.02577190,0.62854386,0.73943037,0.94660370
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-11 00:00:00.000000,0.02068261,0.03972273,0.07629238,195,375,721,87,161,282,0.00922402,0.01710518,0.02985475,0.62854232,0.73941378,0.94640365
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-12 00:00:00.000000,0.02456422,0.04545769,0.08525203,232,429,806,99,185,323,0.01050019,0.01958074,0.03416705,0.62853852,0.73937679,0.94608328
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-13 00:00:00.000000,0.02907216,0.05271216,0.09500343,274,498,898,114,215,372,0.01207999,0.02275987,0.03938773,0.62852912,0.73929458,0.94556578
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-14 00:00:00.000000,0.03432125,0.06067540,0.10566127,324,573,999,131,247,430,0.01391843,0.02613197,0.04553458,0.62850587,0.73911321,0.94472124
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-15 00:00:00.000000,0.04043924,0.06898747,0.11748096,382,652,1111,153,284,496,0.01619171,0.03009523,0.05248500,0.62844839,0.73871948,0.93583920
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-16 00:00:00.000000,0.04768462,0.07877694,0.13454821,450,745,1272,178,326,570,0.01890803,0.03448480,0.06036607,0.62830641,0.73789328,0.93579521
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-17 00:00:00.000000,0.05512483,0.08878771,0.15122203,521,839,1430,210,375,654,0.02224956,0.03973021,0.06924146,0.62737845,0.73218986,0.93572785
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-18 00:00:00.000000,0.06292321,0.10025518,0.17313678,595,948,1637,247,426,741,0.02613729,0.04514853,0.07838959,0.62007006,0.72336441,0.93516932
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-19 00:00:00.000000,0.07175530,0.11255124,0.19358472,678,1064,1830,289,483,821,0.03059898,0.05109815,0.08689276,0.59184798,0.70545177,0.92951552
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-20 00:00:00.000000,0.08158972,0.12556551,0.21494256,771,1187,2032,337,545,905,0.03565654,0.05763396,0.09577330,0.54675014,0.68007954,0.92256263
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-21 00:00:00.000000,0.09210231,0.14088263,0.23735220,871,1332,2244,390,618,989,0.04129255,0.06537518,0.10467032,0.49060068,0.66533344,0.91028183
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-22 00:00:00.000000,0.10435169,0.15526429,0.25989526,986,1468,2457,448,695,1100,0.04746258,0.07348863,0.11634188,0.46680347,0.65401894,0.89621211
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-23 00:00:00.000000,0.11785857,0.17206315,0.28420680,1114,1627,2687,508,772,1247,0.05376256,0.08163919,0.13192736,0.46217500,0.62501316,0.86933178
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-24 00:00:00.000000,0.13254303,0.18946029,0.31144793,1253,1791,2945,574,863,1380,0.06075123,0.09126876,0.14601594,0.42120013,0.60747898,0.82898952
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-25 00:00:00.000000,0.14469831,0.20943069,0.33985967,1368,1980,3214,647,962,1502,0.06846188,0.10172444,0.15891481,0.39876735,0.58969315,0.79050317
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-26 00:00:00.000000,0.16099336,0.23154524,0.36910523,1522,2189,3490,722,1066,1659,0.07644230,0.11279171,0.17546745,0.39387269,0.57719055,0.78943518
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-27 00:00:00.000000,0.17905020,0.25361123,0.39647939,1693,2398,3749,785,1183,1817,0.08308034,0.12509986,0.19219879,0.37547549,0.55605992,0.75846321
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-28 00:00:00.000000,0.19665155,0.27418211,0.42530983,1859,2593,4022,863,1306,1975,0.09132136,0.13818464,0.20886009,0.36378031,0.52145535,0.71512428
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-29 00:00:00.000000,0.21496469,0.29622533,0.45445826,2032,2801,4297,955,1427,2162,0.10108622,0.15096617,0.22860843,0.35119876,0.49670123,0.66261306
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-30 00:00:00.000000,0.23409050,0.31881939,0.48127554,2213,3015,4551,1018,1552,2345,0.10774458,0.16412934,0.24797744,0.33328300,0.47174074,0.62577151
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-03-31 00:00:00.000000,0.24729065,0.33807203,0.51277602,2338,3197,4849,1075,1662,2519,0.11372219,0.17574516,0.26636911,0.31832139,0.44405434,0.60706346
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-01 00:00:00.000000,0.25543129,0.36093184,0.54548117,2415,3413,5158,1148,1786,2680,0.12148502,0.18890712,0.28339796,0.29786137,0.42888418,0.58733586
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-02 00:00:00.000000,0.26090854,0.37877568,0.57942167,2467,3582,5479,1228,1890,2827,0.12988338,0.19987717,0.29892999,0.28341438,0.40816666,0.55960923
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-03 00:00:00.000000,0.26572947,0.39614702,0.61395446,2513,3746,5806,1273,2011,3094,0.13469670,0.21269906,0.32724272,0.27553727,0.39085667,0.51864200
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-04 00:00:00.000000,0.27032251,0.41131595,0.64791999,2556,3889,6127,1308,2105,3348,0.13833556,0.22265188,0.35407370,0.26705341,0.36970768,0.48382540
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-05 00:00:00.000000,0.27451080,0.42628953,0.67661609,2596,4031,6398,1357,2189,3536,0.14352467,0.23147619,0.37390700,0.25505287,0.35081871,0.48065098
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-06 00:00:00.000000,0.27877302,0.44186249,0.69763269,2636,4178,6597,1409,2276,3711,0.14900639,0.24074437,0.39243210,0.23681281,0.33252992,0.44577292
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-07 00:00:00.000000,0.28268798,0.45678558,0.71357906,2673,4319,6748,1458,2368,3812,0.15421660,0.25039077,0.40312989,0.23579447,0.32048781,0.44214494
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-08 00:00:00.000000,0.28659454,0.46940035,0.72640853,2710,4439,6869,1492,2457,3873,0.15778169,0.25981405,0.40957779,0.23253094,0.31498702,0.43964074
55079,0,USWisconsinMilwaukee,Wisconsin,Milwaukee,2020-12-04 11:08:51.078629,2020-04-09 00:00:00.000000,0.29047575,0.48222850,0.73619917,2747,4560,6962,1501,2534,3911,0.15880663,0.26795638,0.41357280,0.23035010,0.30800734,0.40646361
