FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-09 00:00:00.000000,0.02366276,0.07995429,0.21845611,1,5,15,0,3,9,0.01266831,0.04298048,0.12503900,0.35200609,0.55558765,0.72519693
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-10 00:00:00.000000,0.02745286,0.08756203,0.23295741,2,6,16,0,3,8,0.01222947,0.04263495,0.11493708,0.35200609,0.55558351,0.72519682
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-11 00:00:00.000000,0.03056811,0.09423135,0.24576333,2,6,17,0,3,8,0.01303319,0.04465088,0.11051900,0.35200607,0.55557212,0.72519653
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-12 00:00:00.000000,0.03313636,0.10147338,0.26026757,2,7,18,1,3,8,0.01457821,0.04713614,0.11076740,0.35200601,0.55554072,0.72519550
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-13 00:00:00.000000,0.03593458,0.10880724,0.27350647,2,7,19,1,3,8,0.01552009,0.04969411,0.11369134,0.35200585,0.55545430,0.72519003
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-14 00:00:00.000000,0.03898714,0.11722458,0.28654667,2,8,20,1,3,8,0.01666662,0.05287086,0.11824033,0.35200538,0.55521700,0.72515361
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-15 00:00:00.000000,0.04231414,0.12906496,0.30061705,3,9,21,1,4,9,0.01798515,0.05708973,0.12519810,0.35200405,0.55257840,0.72489308
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-16 00:00:00.000000,0.05334253,0.16620921,0.33386322,3,12,24,1,4,10,0.01946143,0.06156325,0.14000951,0.35200019,0.54959704,0.72300704
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-17 00:00:00.000000,0.06807460,0.20504617,0.36648574,4,14,26,1,5,11,0.02299401,0.07238339,0.16249209,0.33319933,0.54435561,0.71013797
55091,0,USWisconsinPepin,Wisconsin,Pepin,2020-12-01 18:20:48.134943,2020-03-18 00:00:00.000000,0.08786251,0.24584899,0.41243837,6,17,30,2,6,13,0.02856651,0.08732069,0.18978909,0.32364995,0.52438132,0.67697384
