FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-09 00:00:00.000000,0.00038751,0.00292066,0.01423133,0,2,10,0,1,5,0.00022754,0.00163778,0.00790751,0.38784066,0.53333458,0.74096092
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-10 00:00:00.000000,0.00044182,0.00321512,0.01532099,0,2,10,0,1,5,0.00023015,0.00161335,0.00760019,0.38784085,0.53315128,0.74094609
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-11 00:00:00.000000,0.00049611,0.00357022,0.01637313,0,2,11,0,1,5,0.00024025,0.00166302,0.00781563,0.38784117,0.53287774,0.74091141
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-12 00:00:00.000000,0.00055263,0.00394658,0.01740824,0,2,12,0,1,5,0.00025199,0.00178353,0.00788942,0.38784167,0.53246435,0.74083030
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-13 00:00:00.000000,0.00061294,0.00432614,0.01844202,0,3,13,0,1,5,0.00027031,0.00185758,0.00804152,0.38784229,0.53181325,0.74064072
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-14 00:00:00.000000,0.00067824,0.00472215,0.01948666,0,3,13,0,1,5,0.00029370,0.00203350,0.00828431,0.38784185,0.53066342,0.74019829
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-15 00:00:00.000000,0.00074949,0.00508454,0.02055179,0,3,14,0,1,6,0.00031761,0.00218656,0.00859675,0.38783193,0.52893693,0.73916953
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-16 00:00:00.000000,0.00187413,0.00719527,0.02395589,1,5,16,0,1,6,0.00033248,0.00238870,0.00926441,0.38775883,0.52720070,0.73679748
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-17 00:00:00.000000,0.00298774,0.00960532,0.02772198,2,6,19,0,2,7,0.00051144,0.00282694,0.01064152,0.38729179,0.52392810,0.73143308
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-18 00:00:00.000000,0.00415021,0.01157536,0.03136868,2,8,22,0,2,8,0.00080612,0.00365319,0.01192406,0.38445866,0.52058862,0.71976006
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-19 00:00:00.000000,0.00537022,0.01396632,0.03506452,3,9,24,0,3,9,0.00118597,0.00444484,0.01323707,0.37165263,0.50274975,0.69658207
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-20 00:00:00.000000,0.00665034,0.01610131,0.03868865,4,11,27,1,3,10,0.00163192,0.00538029,0.01427565,0.34883927,0.48097736,0.65794890
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-21 00:00:00.000000,0.00797107,0.01806078,0.04422039,5,12,31,1,4,10,0.00213162,0.00641963,0.01540793,0.29266966,0.45987771,0.65125350
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-22 00:00:00.000000,0.00931791,0.02028745,0.05181911,6,14,36,1,5,12,0.00268046,0.00770295,0.01714394,0.27730536,0.42954712,0.63617549
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-23 00:00:00.000000,0.01108472,0.02257365,0.05476389,7,15,38,2,6,13,0.00327585,0.00910239,0.01951752,0.27249331,0.41378960,0.60492339
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-24 00:00:00.000000,0.01289276,0.02560885,0.05802051,9,18,41,2,7,14,0.00390442,0.01040537,0.02105785,0.26678263,0.39806947,0.59405065
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-25 00:00:00.000000,0.01464641,0.02902023,0.06142089,10,20,43,3,8,16,0.00462900,0.01151516,0.02352582,0.23651791,0.38930464,0.58916255
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-26 00:00:00.000000,0.01559132,0.03105553,0.06485482,11,21,45,3,8,18,0.00541001,0.01271230,0.02583747,0.23655476,0.37669696,0.56911072
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-27 00:00:00.000000,0.01701833,0.03344393,0.06987141,12,23,49,4,9,19,0.00624045,0.01379164,0.02800311,0.23029066,0.36431913,0.53778923
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-28 00:00:00.000000,0.01814134,0.03615308,0.07536840,12,25,53,5,10,21,0.00711569,0.01518936,0.03004906,0.21558820,0.35410935,0.51967470
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-29 00:00:00.000000,0.01926859,0.03835033,0.08058531,13,27,57,5,12,22,0.00786927,0.01711189,0.03199128,0.20723462,0.33883439,0.50516487
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-30 00:00:00.000000,0.02171652,0.04077345,0.08465211,15,28,59,5,13,24,0.00843731,0.01844721,0.03419295,0.20332378,0.32948354,0.50109848
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-03-31 00:00:00.000000,0.02418615,0.04297237,0.08879834,17,30,62,6,14,26,0.00911332,0.01999094,0.03733264,0.20078016,0.32223043,0.48278761
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-04-01 00:00:00.000000,0.02660258,0.04578065,0.09303007,18,32,65,6,15,28,0.00979437,0.02120184,0.04050024,0.19954020,0.31373939,0.47682137
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-04-02 00:00:00.000000,0.02863914,0.04969373,0.09731334,20,35,68,7,16,30,0.01053231,0.02280366,0.04366716,0.19956882,0.30904970,0.45080937
55097,0,USWisconsinPortage,Wisconsin,Portage,2020-11-13 14:58:44.854025,2020-04-03 00:00:00.000000,0.02905946,0.05248759,0.10157776,20,37,71,8,17,32,0.01130861,0.02409950,0.04649687,0.20113904,0.29497166,0.44420748
