FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-09 00:00:00.000000,0.00059899,0.00188256,0.00504894,1,3,9,0,1,4,0.00013208,0.00059651,0.00204160,0.49673615,0.64330531,0.96592026
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-10 00:00:00.000000,0.00088884,0.00255785,0.00641279,1,5,12,0,1,4,0.00023298,0.00079737,0.00233278,0.49729959,0.64329978,0.96589700
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-11 00:00:00.000000,0.00120237,0.00345715,0.00839766,2,6,16,0,2,5,0.00037337,0.00110468,0.00301766,0.49811720,0.64328984,0.96584110
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-12 00:00:00.000000,0.00154479,0.00451061,0.01065684,3,8,20,1,2,8,0.00051183,0.00150065,0.00423716,0.49930013,0.64327166,0.96570688
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-13 00:00:00.000000,0.00192116,0.00552145,0.01321371,3,10,25,1,3,10,0.00068055,0.00195163,0.00547069,0.50100429,0.64323772,0.96538502
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-14 00:00:00.000000,0.00233450,0.00654010,0.01606667,4,12,31,1,4,13,0.00087799,0.00241203,0.00682126,0.50344425,0.64317297,0.96461575
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-15 00:00:00.000000,0.00278874,0.00752714,0.01918639,5,14,37,2,5,16,0.00109207,0.00299478,0.00833319,0.50690704,0.64242325,0.96279203
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-16 00:00:00.000000,0.00424773,0.00965072,0.02252522,8,18,44,2,7,19,0.00132962,0.00361207,0.00999643,0.51165706,0.64223156,0.95855057
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-17 00:00:00.000000,0.00525545,0.01179142,0.02601348,10,23,51,3,8,23,0.00185288,0.00444727,0.01189455,0.51221409,0.64067673,0.95028259
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-18 00:00:00.000000,0.00637212,0.01380547,0.02960232,12,27,58,4,10,27,0.00245999,0.00540772,0.01396580,0.49762346,0.63883575,0.94906431
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-19 00:00:00.000000,0.00763086,0.01608659,0.03326774,14,31,65,5,12,31,0.00284997,0.00647070,0.01619269,0.49704296,0.63886074,0.94642995
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-20 00:00:00.000000,0.00874169,0.01892153,0.03701201,17,37,72,6,15,36,0.00328053,0.00767182,0.01858481,0.47275425,0.63544216,0.94075594
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-21 00:00:00.000000,0.00962069,0.02145992,0.04085742,18,42,80,7,17,41,0.00388111,0.00894143,0.02116144,0.43868774,0.60689940,0.92859701
55101,0,USWisconsinRacine,Wisconsin,Racine,2020-11-25 20:18:31.903214,2020-03-22 00:00:00.000000,0.01057343,0.02432517,0.04796031,20,47,94,9,20,47,0.00461828,0.01027020,0.02394481,0.43106194,0.59405206,0.87527469
