FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-09 00:00:00.000000,0.00266808,0.00630152,0.01531950,1,4,9,0,1,4,0.00068350,0.00235115,0.00692771,0.37071210,0.51267069,0.70063628
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-10 00:00:00.000000,0.00370793,0.00880689,0.01971620,2,5,12,0,1,4,0.00113016,0.00273274,0.00740567,0.37071186,0.51266933,0.70063620
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-11 00:00:00.000000,0.00480035,0.01154230,0.02442899,3,7,15,0,2,5,0.00140039,0.00342406,0.00847750,0.37071140,0.51266678,0.70063589
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-12 00:00:00.000000,0.00594582,0.01407647,0.02884345,3,9,18,1,2,7,0.00181084,0.00454677,0.01094768,0.37071048,0.51266138,0.70063473
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-13 00:00:00.000000,0.00714439,0.01662548,0.03497483,4,10,22,1,3,8,0.00232549,0.00573082,0.01332765,0.37070866,0.51264762,0.70063008
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-14 00:00:00.000000,0.00839445,0.01951304,0.04281436,5,12,27,1,4,10,0.00289002,0.00697391,0.01575995,0.37070504,0.51260503,0.70061113
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-15 00:00:00.000000,0.00969113,0.02242401,0.05135418,6,14,33,2,5,12,0.00349504,0.00828691,0.01879896,0.37069780,0.51245287,0.70053258
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-16 00:00:00.000000,0.01409436,0.02677378,0.06097435,9,17,39,2,6,14,0.00413489,0.00965800,0.02299790,0.37068323,0.51186691,0.70020378
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-17 00:00:00.000000,0.01613244,0.03152696,0.06897992,10,20,44,3,7,18,0.00534119,0.01117682,0.02810103,0.37065353,0.50232428,0.69882764
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-18 00:00:00.000000,0.01819751,0.03549028,0.07717291,11,22,49,4,8,21,0.00626969,0.01311994,0.03318025,0.37059135,0.49616431,0.69324306
55111,0,USWisconsinSauk,Wisconsin,Sauk,2020-11-25 20:10:52.464828,2020-03-19 00:00:00.000000,0.02021867,0.03950803,0.08524360,13,25,54,4,9,24,0.00713105,0.01518592,0.03765507,0.36663851,0.47732086,0.66433359
