FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-09 00:00:00.000000,0.00071840,0.00632069,0.02517987,0,1,7,0,1,4,0.00037403,0.00325930,0.01476468,0.41010431,0.53525958,0.72043600
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-10 00:00:00.000000,0.00086198,0.00737340,0.02754415,0,2,8,0,1,4,0.00037519,0.00344172,0.01433139,0.41047501,0.53511489,0.72048114
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-11 00:00:00.000000,0.00100134,0.00822323,0.02966811,0,2,9,0,1,4,0.00040403,0.00359129,0.01441021,0.41102514,0.53488564,0.72053813
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-12 00:00:00.000000,0.00114142,0.00891204,0.03149332,0,2,9,0,1,4,0.00045015,0.00387170,0.01565376,0.41184040,0.53452291,0.72060218
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-13 00:00:00.000000,0.00128575,0.00981920,0.03386170,0,3,10,0,1,5,0.00050767,0.00423550,0.01701857,0.41304808,0.53395010,0.72064748
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-14 00:00:00.000000,0.00143698,0.01073214,0.03681155,0,3,11,0,1,5,0.00057340,0.00454458,0.01808052,0.41455745,0.53304754,0.72057804
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-15 00:00:00.000000,0.00159726,0.01172307,0.03995190,0,3,12,0,1,5,0.00064575,0.00493184,0.01931369,0.41702511,0.53162592,0.72007461
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-16 00:00:00.000000,0.00176835,0.01297062,0.04285195,0,3,13,0,1,6,0.00072409,0.00543581,0.02068151,0.41399156,0.52936606,0.71810744
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-17 00:00:00.000000,0.00195123,0.01400579,0.04588349,0,4,14,0,1,6,0.00080837,0.00597264,0.02216548,0.41270422,0.52814653,0.71115238
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-18 00:00:00.000000,0.00214477,0.01489170,0.04909870,0,4,15,0,1,7,0.00089872,0.00647597,0.02375790,0.41042677,0.52257989,0.70625426
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-19 00:00:00.000000,0.00234540,0.01584852,0.05249866,0,4,16,0,2,7,0.00099507,0.00701373,0.02545692,0.38447066,0.51890947,0.70361414
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-20 00:00:00.000000,0.00255414,0.01731420,0.05604868,0,5,17,0,2,8,0.00109670,0.00744442,0.02726161,0.35084025,0.50039079,0.69735292
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-21 00:00:00.000000,0.00277623,0.01879806,0.05961402,0,5,18,0,2,8,0.00120332,0.00804334,0.02916401,0.30778582,0.48808867,0.69644149
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-22 00:00:00.000000,0.00301517,0.02034096,0.06272923,0,6,19,0,2,9,0.00131567,0.00873164,0.03113159,0.28827408,0.46598726,0.69260750
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-23 00:00:00.000000,0.00327308,0.02197732,0.06532052,1,6,20,0,2,10,0.00143066,0.00938555,0.03308654,0.28429982,0.44359745,0.66665584
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-24 00:00:00.000000,0.00344177,0.02293516,0.06796564,1,7,20,0,3,10,0.00153022,0.01007939,0.03497425,0.28030065,0.41881718,0.62679627
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-25 00:00:00.000000,0.00359489,0.02440453,0.07063804,1,7,21,0,3,11,0.00162384,0.01078386,0.03680922,0.27494370,0.39651075,0.62784555
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-26 00:00:00.000000,0.00375754,0.02548401,0.07326482,1,7,22,0,3,11,0.00171427,0.01160327,0.03862695,0.26942523,0.38302054,0.59734588
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-27 00:00:00.000000,0.00393201,0.02673962,0.07572069,1,8,23,0,3,12,0.00180390,0.01241342,0.04045701,0.25795023,0.37635801,0.60676492
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-28 00:00:00.000000,0.00411964,0.02831473,0.07784753,1,8,23,0,4,13,0.00189483,0.01304020,0.04231800,0.24087216,0.36104935,0.61218620
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-29 00:00:00.000000,0.00431893,0.02915945,0.07952927,1,8,24,0,4,13,0.00198872,0.01343866,0.04421684,0.22444268,0.34287369,0.57499207
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-30 00:00:00.000000,0.00452558,0.03018363,0.08076605,1,9,24,0,4,14,0.00208654,0.01413028,0.04614543,0.20925486,0.33682847,0.56628110
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-03-31 00:00:00.000000,0.00473419,0.03098870,0.08176612,1,9,25,0,4,14,0.00218831,0.01482071,0.04807124,0.20157473,0.33125703,0.55919742
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-01 00:00:00.000000,0.00493969,0.03124831,0.08480903,1,9,26,0,4,15,0.00229320,0.01555024,0.04992372,0.18542774,0.32252304,0.51625178
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-02 00:00:00.000000,0.00513898,0.03172698,0.08761475,1,9,27,0,4,15,0.00239983,0.01621663,0.05159770,0.17696274,0.31195356,0.50614947
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-03 00:00:00.000000,0.00533146,0.03254971,0.09011193,1,10,27,0,5,16,0.00250672,0.01667543,0.05299997,0.16540961,0.29435696,0.48763658
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-04 00:00:00.000000,0.00551782,0.03322557,0.09226711,1,10,28,0,5,16,0.00261274,0.01690329,0.05457742,0.16008983,0.28426477,0.48418072
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-05 00:00:00.000000,0.00569948,0.03383748,0.09412453,1,10,29,0,5,17,0.00271719,0.01744608,0.05625694,0.15961169,0.28078922,0.48251346
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-06 00:00:00.000000,0.00766177,0.04112982,0.10093338,2,12,31,0,5,17,0.00276323,0.01798333,0.05770215,0.15942525,0.27827034,0.47612676
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-07 00:00:00.000000,0.00986706,0.04857854,0.11214512,3,14,34,0,6,18,0.00320105,0.01976406,0.05962861,0.13915140,0.27547181,0.46109548
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-08 00:00:00.000000,0.01369107,0.05360828,0.11953109,4,16,36,1,6,19,0.00383871,0.02144618,0.06252009,0.13337620,0.27441650,0.44691249
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-09 00:00:00.000000,0.01776308,0.05933194,0.12685494,5,18,39,1,7,20,0.00563394,0.02356335,0.06599341,0.13248353,0.27046711,0.44219597
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-10 00:00:00.000000,0.02201292,0.06468798,0.13418709,6,19,41,2,7,21,0.00768080,0.02587795,0.06982620,0.13230128,0.25905070,0.43999278
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-11 00:00:00.000000,0.02637640,0.06969244,0.14149103,8,21,43,3,8,22,0.00991237,0.02789895,0.07411261,0.13211648,0.25057702,0.43927118
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-12 00:00:00.000000,0.03082380,0.07451582,0.14874871,9,22,45,3,9,24,0.01202548,0.03095965,0.07853974,0.13242549,0.24676672,0.43336962
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-13 00:00:00.000000,0.03599775,0.08137368,0.15555583,11,25,47,4,10,25,0.01370974,0.03402756,0.08238731,0.13527652,0.23654211,0.42695898
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-14 00:00:00.000000,0.04321671,0.08770121,0.16096163,13,27,49,4,11,26,0.01524756,0.03693753,0.08743427,0.13781380,0.23108794,0.41757944
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-15 00:00:00.000000,0.04553611,0.09454696,0.16719783,14,29,51,5,12,28,0.01666731,0.04072155,0.09295194,0.13122378,0.22663451,0.41374329
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-16 00:00:00.000000,0.04731588,0.10173916,0.17337610,14,31,53,5,13,30,0.01911565,0.04448937,0.09876814,0.13271425,0.22374186,0.40941490
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-17 00:00:00.000000,0.04848304,0.10802120,0.18175067,14,33,56,6,14,32,0.02169791,0.04768892,0.10480147,0.13459967,0.22105643,0.40318874
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-18 00:00:00.000000,0.04950103,0.11354169,0.19459856,15,34,59,7,15,34,0.02285404,0.05025276,0.11102580,0.13155362,0.21259719,0.39539977
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-19 00:00:00.000000,0.05035330,0.11777595,0.20759678,15,36,63,7,16,36,0.02362433,0.05272953,0.11743811,0.12135883,0.21071096,0.39306718
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-20 00:00:00.000000,0.05427634,0.12266154,0.21779598,16,37,67,7,17,38,0.02428515,0.05647013,0.12566822,0.11584770,0.19977821,0.39249203
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-21 00:00:00.000000,0.06120802,0.12890887,0.22727040,18,39,70,7,18,41,0.02504577,0.05881675,0.13353628,0.11582619,0.18941499,0.38868097
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-22 00:00:00.000000,0.06603059,0.13357996,0.23509169,20,41,72,8,18,43,0.02651477,0.06086770,0.14082109,0.10990310,0.18570219,0.38691691
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-23 00:00:00.000000,0.06827406,0.13744509,0.24343361,21,42,75,9,19,45,0.02924844,0.06281337,0.14706398,0.11058243,0.18438895,0.38588433
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-24 00:00:00.000000,0.07040644,0.14232635,0.24411001,21,43,75,9,20,46,0.03226151,0.06545142,0.15158983,0.11203707,0.18074554,0.38196423
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-25 00:00:00.000000,0.07243218,0.14620857,0.24474761,22,45,75,10,21,47,0.03547960,0.06859437,0.15458944,0.11328283,0.17911288,0.36939855
55123,0,USWisconsinVernon,Wisconsin,Vernon,2020-12-04 10:22:32.910606,2020-04-26 00:00:00.000000,0.07440461,0.15496202,0.25383060,22,47,78,11,21,47,0.03764464,0.07106647,0.15548258,0.10621701,0.17702245,0.36231154
