FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-09 00:00:00.000000,0.00112229,0.00285449,0.00583882,1,3,7,0,1,3,0.00024966,0.00105960,0.00252293,0.42362171,0.52872546,0.71159927
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-10 00:00:00.000000,0.00158020,0.00401780,0.00826038,2,5,11,0,1,3,0.00043355,0.00122487,0.00269051,0.42362146,0.52872004,0.71153298
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-11 00:00:00.000000,0.00209728,0.00538635,0.01127160,2,7,15,0,2,4,0.00057045,0.00154786,0.00340701,0.42362097,0.52870678,0.71142880
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-12 00:00:00.000000,0.00261500,0.00681793,0.01451470,3,9,19,0,2,6,0.00072217,0.00210023,0.00442914,0.42361998,0.52867416,0.71126296
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-13 00:00:00.000000,0.00311372,0.00825678,0.01803327,4,11,24,1,3,7,0.00091388,0.00267855,0.00580368,0.42361800,0.52859317,0.71099455
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-14 00:00:00.000000,0.00371457,0.00962348,0.02187377,5,13,29,1,4,10,0.00114060,0.00325560,0.00737938,0.42361384,0.52525775,0.70850903
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-15 00:00:00.000000,0.00438383,0.01109004,0.02607979,5,15,35,1,5,12,0.00140090,0.00401648,0.00900297,0.42331703,0.52515764,0.69603743
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-16 00:00:00.000000,0.00553744,0.01336293,0.02901601,7,18,39,2,6,14,0.00169521,0.00479957,0.01086429,0.41794467,0.51717183,0.67997666
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-17 00:00:00.000000,0.00691474,0.01582742,0.03240670,9,21,44,2,7,17,0.00211639,0.00561122,0.01286550,0.40762429,0.50330591,0.67652412
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-18 00:00:00.000000,0.00835688,0.01789736,0.03618501,11,24,49,3,8,20,0.00252263,0.00645312,0.01481046,0.37775543,0.49645474,0.67611653
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-19 00:00:00.000000,0.00969969,0.01973890,0.04036651,13,26,54,4,9,22,0.00297327,0.00734183,0.01678672,0.36128009,0.47617062,0.67442236
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-20 00:00:00.000000,0.01139179,0.02215240,0.04492750,15,30,61,4,11,25,0.00347218,0.00844575,0.01885529,0.34954148,0.45029361,0.66227573
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-21 00:00:00.000000,0.01301367,0.02460102,0.04897225,17,33,66,5,13,28,0.00408970,0.00964669,0.02106103,0.32388195,0.43716590,0.64658008
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-22 00:00:00.000000,0.01466397,0.02684654,0.05245202,19,36,71,6,15,31,0.00485028,0.01108630,0.02343462,0.30430127,0.41994095,0.60611664
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-23 00:00:00.000000,0.01649107,0.02944250,0.05753709,22,40,78,7,16,35,0.00565730,0.01237860,0.02600175,0.29910442,0.40632091,0.57355142
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-24 00:00:00.000000,0.01801576,0.03189766,0.06281559,24,43,85,8,18,39,0.00660852,0.01370800,0.02879349,0.28199674,0.38601771,0.56480083
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-25 00:00:00.000000,0.01946541,0.03439984,0.06821182,26,46,92,10,20,43,0.00767329,0.01498754,0.03174810,0.27920362,0.37239372,0.49605037
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-26 00:00:00.000000,0.02093352,0.03710657,0.07376120,28,50,100,11,21,47,0.00863727,0.01613794,0.03459451,0.26322546,0.36321248,0.48211281
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-27 00:00:00.000000,0.02289328,0.03952252,0.07754390,31,53,105,12,23,50,0.00944687,0.01756401,0.03718169,0.24294602,0.34999623,0.46969413
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-28 00:00:00.000000,0.02506158,0.04220054,0.08062428,34,57,109,14,26,53,0.01032746,0.01916030,0.03956452,0.23365875,0.33719852,0.45494502
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-29 00:00:00.000000,0.02672127,0.04469536,0.08620527,36,60,117,15,28,58,0.01146111,0.02077661,0.04281576,0.22126824,0.32552702,0.43122348
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-30 00:00:00.000000,0.02842681,0.04796305,0.09224824,38,65,125,16,30,63,0.01239989,0.02210412,0.04650012,0.21765557,0.30708785,0.42818798
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-03-31 00:00:00.000000,0.03064139,0.05037326,0.09453719,41,68,128,18,31,67,0.01335695,0.02326586,0.04971330,0.21386483,0.29238585,0.42464158
55131,0,USWisconsinWashington,Wisconsin,Washington,2020-12-01 18:19:28.304963,2020-04-01 00:00:00.000000,0.03180135,0.05292659,0.09574347,43,71,130,19,33,70,0.01398954,0.02469758,0.05184320,0.21235237,0.28568301,0.41675351
