FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-09 00:00:00.000000,0.00766953,0.01998738,0.04275191,3,7,16,1,3,7,0.00257793,0.00815067,0.01971111,0.48400302,0.62924795,0.88453050
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-10 00:00:00.000000,0.01110914,0.02655455,0.05516242,4,10,21,1,3,8,0.00336845,0.00917802,0.02039164,0.48400302,0.62881317,0.88452384
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-11 00:00:00.000000,0.01474000,0.03350750,0.07009936,5,13,27,1,4,9,0.00459140,0.01079727,0.02335510,0.48400303,0.62880416,0.88450880
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-12 00:00:00.000000,0.01865595,0.04146209,0.08107735,7,16,31,2,5,11,0.00604263,0.01345417,0.03007870,0.48400306,0.62877945,0.88447345
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-13 00:00:00.000000,0.02292892,0.04950880,0.09224248,9,19,36,3,6,14,0.00772359,0.01663134,0.03774737,0.48400314,0.62871177,0.88438784
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-14 00:00:00.000000,0.02762059,0.05848307,0.10453067,10,22,41,3,7,17,0.00962870,0.02033704,0.04429662,0.48400338,0.62852683,0.88417583
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-15 00:00:00.000000,0.03256229,0.06888255,0.12361188,12,27,48,4,9,20,0.01176342,0.02404191,0.05158203,0.48400402,0.62802529,0.88364310
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-16 00:00:00.000000,0.04004478,0.08028556,0.14083217,15,31,55,5,11,23,0.01392025,0.02825518,0.05968403,0.48400573,0.62907695,0.88229470
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-17 00:00:00.000000,0.04794888,0.09412936,0.16290969,18,36,63,6,13,26,0.01706969,0.03406982,0.06855255,0.47464783,0.63022119,0.87889092
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-18 00:00:00.000000,0.05603815,0.10811240,0.18720104,22,42,73,7,16,31,0.01960027,0.04127508,0.07900434,0.44851168,0.61578253,0.87047851
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-19 00:00:00.000000,0.06199524,0.12441156,0.21346855,24,48,83,9,18,35,0.02403056,0.04822686,0.09140556,0.44233500,0.60280641,0.85092064
56013,0,USWyomingFremont,Wyoming,Fremont,2020-12-15 08:03:15.452969,2020-03-20 00:00:00.000000,0.06968909,0.14238741,0.24176573,27,55,94,11,21,41,0.02915549,0.05562256,0.10500976,0.42845933,0.59278568,0.82416481
