FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-09 00:00:00.000000,0.00808462,0.02920764,0.09606940,0,2,8,0,1,5,0.00442463,0.01644888,0.06174114,0.35756032,0.49693260,0.73696494
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-10 00:00:00.000000,0.00879469,0.03212784,0.10744333,0,2,9,0,1,5,0.00422396,0.01602866,0.06368890,0.35756027,0.49645240,0.73696492
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-11 00:00:00.000000,0.00947783,0.03587005,0.11856651,0,3,9,0,1,5,0.00420562,0.01669350,0.06395236,0.35756006,0.49645085,0.73696486
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-12 00:00:00.000000,0.01015272,0.03964607,0.12978357,0,3,10,0,1,5,0.00436515,0.01774268,0.06533954,0.35755932,0.49644194,0.73696469
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-13 00:00:00.000000,0.01083255,0.04385276,0.14134528,0,3,11,0,1,5,0.00460962,0.01921218,0.06790398,0.35755666,0.49638128,0.73696416
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-14 00:00:00.000000,0.01152659,0.04770469,0.15341978,0,4,12,0,1,5,0.00489146,0.02071053,0.07074227,0.35754707,0.49595778,0.73696241
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-15 00:00:00.000000,0.01224118,0.05076599,0.16603842,1,4,13,0,1,6,0.00520139,0.02241529,0.07222187,0.35751242,0.49558630,0.73695615
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-16 00:00:00.000000,0.01297990,0.05407170,0.17886331,1,4,15,0,2,6,0.00553303,0.02443143,0.07432020,0.35540258,0.49556197,0.73693177
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-17 00:00:00.000000,0.01374320,0.05795490,0.19077571,1,4,16,0,2,6,0.00575411,0.02617508,0.07690113,0.35506971,0.48306142,0.73682914
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-18 00:00:00.000000,0.01452748,0.06093377,0.20114155,1,5,16,0,2,6,0.00598976,0.02770317,0.07985269,0.33009807,0.47233733,0.73637045
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-19 00:00:00.000000,0.01532491,0.06455699,0.21078192,1,5,17,0,2,6,0.00635204,0.02950858,0.08307160,0.31606014,0.46251755,0.73424756
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-20 00:00:00.000000,0.01612607,0.06681501,0.21962177,1,5,18,0,2,7,0.00672718,0.03139491,0.08784991,0.30155763,0.43544023,0.72453133
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-21 00:00:00.000000,0.01692619,0.06861849,0.22717053,1,5,19,0,2,7,0.00711149,0.03336113,0.09364530,0.29178797,0.41667875,0.68656385
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-22 00:00:00.000000,0.01772941,0.07106358,0.23434270,1,5,19,0,2,8,0.00750166,0.03503157,0.09908788,0.28133709,0.39686076,0.60118895
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-23 00:00:00.000000,0.03285114,0.08854125,0.25255355,2,7,21,0,3,8,0.00789598,0.03633472,0.10399542,0.27051148,0.38110650,0.55302314
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-24 00:00:00.000000,0.05004181,0.10803953,0.27018511,4,9,22,0,3,9,0.01002285,0.04074166,0.11309330,0.26003200,0.36955990,0.53778376
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-25 00:00:00.000000,0.06000600,0.12260605,0.30400961,5,10,25,1,3,10,0.01480151,0.04584308,0.12579625,0.25003822,0.35859708,0.53020464
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-26 00:00:00.000000,0.07029917,0.13629774,0.36029948,5,11,30,1,4,11,0.02122687,0.05173277,0.13955215,0.24920966,0.33305622,0.52313837
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-27 00:00:00.000000,0.08262333,0.15151357,0.38842983,6,12,32,2,5,12,0.02519926,0.05979401,0.15396865,0.23106238,0.31395389,0.49708342
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-28 00:00:00.000000,0.09172868,0.16825101,0.41478433,7,14,34,2,5,14,0.02967236,0.06868057,0.16885376,0.21237683,0.30380612,0.48698352
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-29 00:00:00.000000,0.10064047,0.18550643,0.44025910,8,15,36,2,6,15,0.03487192,0.07704310,0.18410416,0.20781393,0.29584597,0.47970234
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-30 00:00:00.000000,0.11073640,0.20511808,0.47118689,9,17,39,3,7,17,0.04136517,0.08499658,0.21132030,0.20108762,0.28174168,0.47144381
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-03-31 00:00:00.000000,0.12527863,0.23174582,0.50201352,10,19,42,3,7,19,0.04568252,0.09464334,0.22882397,0.18876923,0.27514760,0.45273369
56031,0,USWyomingPlatte,Wyoming,Platte,2020-12-15 08:13:11.052102,2020-04-01 00:00:00.000000,0.13582138,0.25265005,0.53289709,11,21,44,4,8,20,0.05019791,0.10676767,0.24527679,0.17700857,0.26172376,0.45196242
