FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-09 00:00:00.000000,0.00463023,0.02128984,0.09724468,0,1,6,0,0,3,0.00252022,0.01186085,0.05622766,0.37990767,0.50163078,0.63238632
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-10 00:00:00.000000,0.00517623,0.02373381,0.10694817,0,1,7,0,0,3,0.00265129,0.01200627,0.05665744,0.37990757,0.50163060,0.63133671
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-11 00:00:00.000000,0.00581815,0.02552756,0.11680341,0,1,8,0,0,4,0.00290483,0.01297938,0.05927289,0.37990710,0.50163004,0.62978669
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-12 00:00:00.000000,0.00635786,0.02831958,0.12701982,0,1,8,0,0,4,0.00323887,0.01403143,0.06304567,0.37990463,0.50162816,0.62750862
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-13 00:00:00.000000,0.00693272,0.03138075,0.13775034,0,2,9,0,1,4,0.00349850,0.01527165,0.06773048,0.37989072,0.50162164,0.62418402
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-14 00:00:00.000000,0.00754988,0.03436539,0.14911444,0,2,10,0,1,5,0.00394235,0.01666122,0.07311239,0.37981061,0.50159841,0.61938159
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-15 00:00:00.000000,0.00838733,0.03811549,0.16121187,0,2,11,0,1,5,0.00441851,0.01827980,0.07907773,0.37499232,0.49576846,0.61688474
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-16 00:00:00.000000,0.00939586,0.04206584,0.17412738,0,2,12,0,1,6,0.00492071,0.02025697,0.08898825,0.36693054,0.49419338,0.61685005
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-17 00:00:00.000000,0.01049270,0.04583265,0.18789526,0,3,13,0,1,6,0.00544718,0.02231856,0.10097323,0.36613648,0.49018850,0.61657308
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-18 00:00:00.000000,0.01167223,0.04927768,0.20976735,0,3,14,0,1,7,0.00599635,0.02432173,0.11425705,0.34773201,0.47867315,0.61594882
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-19 00:00:00.000000,0.01264495,0.05255706,0.23311380,0,3,16,0,1,8,0.00656667,0.02650504,0.12598987,0.33721882,0.46601847,0.59026814
56045,0,USWyomingWeston,Wyoming,Weston,2020-12-15 07:45:36.816887,2020-03-20 00:00:00.000000,0.01364215,0.05706276,0.25527196,0,3,17,0,1,9,0.00715688,0.02871033,0.13677481,0.32122629,0.45094068,0.54988803
