HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
4752,CanadaSaskatchewanFarNorthCentral,Saskatchewan,Far North Central,2020-11-25 16:06:48.617641,2020-11-25 00:00:00.000000,0:14:13.275232,19.76783536,41.61924826,57.70741823,582,1226,1701,18.62118765,32.14628103,48.16715882,9.80705165,20.75553782,33.81772251
4760,CanadaSaskatchewanSouthCentral,Saskatchewan,South Central,2020-11-25 16:08:23.592672,2020-11-25 00:00:00.000000,0:15:50.582718,4.01893631,11.86116131,21.05209155,2414,7126,12647,4.78577014,19.41644824,32.98869739,5.01441657,26.17003990,46.04213003
4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-11-25 16:07:24.941632,2020-11-25 00:00:00.000000,0:14:50.345506,4.27794004,9.94235418,16.86335658,1005,2337,3963,4.69796931,13.13020282,25.03821652,5.08647071,15.83516796,33.22782586
4834,CanadaAlbertaEdmonton,Alberta,Edmonton,2020-11-25 17:05:04.085191,2020-11-25 00:00:00.000000,0:55:13.727931,4.39582677,9.38531579,19.75047511,64241,137159,288637,4.93324380,10.86879751,22.94399126,5.04155604,11.83754858,25.31467289
4754,CanadaSaskatchewanFarNorthWest,Saskatchewan,Far North West,2020-11-25 16:09:24.211803,2020-11-25 00:00:00.000000,0:16:50.433667,3.83989395,7.84489655,14.17374945,1057,2160,3904,2.85524077,8.08659383,16.24243103,2.24139888,7.92524705,18.87334808
4604,CanadaManitobaNorthern,Manitoba,Northern,2020-11-25 16:53:28.537628,2020-11-25 00:00:00.000000,0:41:38.612649,4.75044071,6.90182548,9.61743536,3675,5340,7441,4.64514061,7.40218858,10.15196062,4.36352269,7.68233793,11.07743148
4605,CanadaManitobaSouthernHealth,Manitoba,Southern Health,2020-11-25 16:45:46.067774,2020-11-25 00:00:00.000000,0:52:30.462478,4.62473795,6.54950401,9.68648603,9521,13484,19943,3.56623941,6.34994070,10.61194298,2.94803282,5.90109993,10.75645146
2402,CanadaQuebecSaguenay,Quebec,Saguenay,2020-11-25 16:51:30.692326,2020-11-25 00:00:00.000000,0:58:42.423552,4.10086185,6.14483777,10.26680850,11329,16977,28365,3.33927138,5.52498377,9.71549772,2.53551789,4.94918659,9.35405915
4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-11-25 16:06:56.109835,2020-11-25 00:00:00.000000,0:14:22.110575,2.95793952,5.93843048,10.37928941,1206,2422,4234,2.51594164,6.51501519,14.75625389,2.00849591,6.72390913,19.20533461
4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-11-25 16:11:49.799573,2020-11-25 00:00:00.000000,0:19:13.910711,2.26625875,5.83144898,10.32626573,826,2125,3764,2.98388759,9.81355443,18.44901352,4.21797657,15.55408934,29.73072081
